id,youtuber_id,title,description,video_url,publication_date,views,likes
1,1,Curso de Javascript desde CERO - Principiantes (2023),"Aprende Javascript desde cero en este curso completo. Ideal para principiantes que quieren comenzar en el desarrollo web.",https://www.youtube.com/watch?v=RGOj5yH7evk,2023-01-15,150000,4500
2,1,"🔴 Crea un CRUD REST API con Node.js, Express y MySQL desde CERO (2023)","Aprende a crear un API RESTful completo con Node.js, Express y MySQL paso a paso.",https://www.youtube.com/watch?v=f4czPzPGgW4,2023-03-20,120000,3800
3,2,Curso GRATIS de JAVASCRIPT desde cero (con ejercicios),"Curso completo de Javascript para principiantes, con ejercicios prácticos y ejemplos reales.",https://www.youtube.com/watch?v=e3x1W9r9-rk,2022-11-10,200000,6000
4,3,"🚀 GIT desde cero para PRINCIPIANTES - GUÍA COMPLETA 2023 🚀","Aprende Git y GitHub desde cero, paso a paso, con ejemplos prácticos y flujos de trabajo comunes.",https://www.youtube.com/watch?v=Qw6RkeZUqj8,2023-02-01,180000,5200
5,4,🔴 Directo resolviendo 5 ejercicios de Lógica de Programación (Principiantes),Directo en el que se resuelven 5 ejercicios de lógica para principiantes en programación en vivo.,https://www.youtube.com/watch?v=Vv72i37PwUo,2023-05-15,90000,2500
6,5,Probando frameworks de CSS hasta que uno me guste,Midu prueba diferentes frameworks de CSS en directo para elegir uno para sus proyectos personales.,https://www.youtube.com/watch?v=zxJgmEYeJEE,2023-09-01,75000,2000
7,6,React Router Dom V6 - Rutas y Navegación en React #43,Aprende a implementar rutas y navegación en tus aplicaciones de React con React Router Dom V6.,https://www.youtube.com/watch?v=uvj5W4-qCRA,2022-08-22,85000,2800
8,7,Curso de Excel 2021 - Desde CERO a EXPERTO en 3 horas (Completo Paso a Paso),Curso completo de Excel desde cero hasta nivel experto. Ideal para principiantes y usuarios intermedios.,https://www.youtube.com/watch?v=9Ne3272zEDY,2021-05-10,250000,7000
9,8,Responsive Web Design Tutorial - Full Course,"Tutorial completo de diseño web responsivo (en inglés, con subtítulos disponibles en español).",https://www.youtube.com/watch?v=srvUrASMegk,2021-09-20,300000,8500
10,9,Modern CSS Design Trends You Need To Know In 2023,"Tendencias de diseño CSS moderno que necesitas conocer en 2023 (en inglés, con subtítulos disponibles en español).",https://www.youtube.com/watch?v=eYxOmwHMw-o,2023-04-05,120000,3500
11,10,JavaScript DOM Crash Course,"Curso intensivo sobre el DOM de JavaScript (en inglés, con subtítulos disponibles en español).",https://www.youtube.com/watch?v=0ik6X4DjkZU,2019-10-25,400000,12000
12,1,Master en Javascript: Desde cero hasta dominar Javascript (Completo),Curso completo y avanzado para dominar Javascript desde los fundamentos hasta temas avanzados.,https://www.youtube.com/watch?v=3PIgZ9mRzCQ,2022-05-02,95000,3000
13,2,"🐍 Curso de Python desde cero. Nivel principiante🥇(Aprende YA!)","Curso de Python para principiantes, ideal para empezar a programar desde cero.",https://www.youtube.com/watch?v=TbcEqkabggw,2021-12-15,220000,6800
14,3,"🔥 CURSO de REACT desde CERO - Para PRINCIPIANTES (2023) 🔥","Curso completo de React para principiantes, paso a paso y con proyectos prácticos.",https://www.youtube.com/watch?v=6Jfk8VLb720,2023-07-01,170000,5000
15,4,"🚀 Crea tu Portfolio WEB Profesional con HTML, CSS y JavaScript (Desde CERO)","Tutorial para crear un portfolio web profesional desde cero usando HTML, CSS y Javascript.",https://www.youtube.com/watch?v=dozx-ELzxq8,2023-06-10,130000,4200
16,5,Directo Programando un clon de Twitter con React y Tailwind CSS,Directo en vivo programando un clon de Twitter utilizando React y Tailwind CSS.,https://www.youtube.com/watch?v=tX_lSzzESmY,2023-08-20,80000,2300
17,6,Curso de Vue.js 3 desde cero - #1 Instalación y Hola Mundo,"Primer vídeo de un curso completo de Vue.js 3, empezando por la instalación y un ejemplo básico.",https://www.youtube.com/watch?v=BXeiFjX7K2s,2023-04-18,60000,1800
18,7,Curso de Word 2019 - Desde CERO a EXPERTO en 4 horas (Completo Paso a Paso),"Curso completo de Word 2019, desde nivel principiante hasta experto en 4 horas.",https://www.youtube.com/watch?v=NpFApzBaqts,2019-03-15,350000,9500
19,8,Data Structures and Algorithms in JavaScript - Full Course,"Curso completo de estructuras de datos y algoritmos en JavaScript (en inglés, con subtítulos disponibles en español).",https://www.youtube.com/watch?v=t2CEgPsws3U,2020-07-01,420000,13000
20,9,CSS Grid Tutorial | Build A Responsive Website Layout #cssgrid,"Tutorial de CSS Grid para construir un layout web responsivo (en inglés, con subtítulos disponibles en español).",https://www.youtube.com/watch?v=jV8B24rSN5o,2018-11-28,500000,15000
21,10,Learn Python - Full Course for Beginners [Tutorial],"Curso completo de Python para principiantes (en inglés, con subtítulos disponibles en español).",https://www.youtube.com/watch?v=rfscVS0vtbw,2018-01-15,600000,18000