id,channel_name,youtuber_name,description,channel_url
1,Fazt Code,Fazt,"Canal con tutoriales de desarrollo web y móvil. Especializado en JavaScript, React, Node.js y desarrollo móvil.",https://www.youtube.com/@FaztCode
2,Hola Mundo,Nicolas Schurmann,"Tutoriales y cursos online de programación para principiantes. Cubre HTML, CSS, JavaScript, Python y fundamentos de programación.",https://www.youtube.com/@HolaMundoDev
3,SoyDalto,Dalto Serapio,"Programación, desarrollo web, videojuegos y tecnología. Contenido variado sobre diferentes lenguajes y herramientas.",https://www.youtube.com/@SoyDalto
4,MoureDev by Brais Moure,Brais Moure,"Desarrollo de software, programación y tecnología en general. Directos semanales y contenido de alta calidad sobre diversas tecnologías.",https://www.youtube.com/@mouredev
5,midudev,Miguel Ángel Durán,"Directos de programación y desarrollo web. Especialmente conocido por sus directos de resolución de problemas y tutoriales prácticos.",https://www.youtube.com/@midudev
6,Carlos Azaustre,Carlos Azaustre,"Vídeos sobre desarrollo web, JavaScript, React, Vue.js y más. Tutoriales concisos y directos al grano.",https://www.youtube.com/@CarlosAzaustre
7,pildorasinformaticas,Juan Díaz,"Cursos completos de informática y programación. Desde nivel básico hasta avanzado en múltiples tecnologías y lenguajes.",https://www.youtube.com/@pildorasinformaticas
8,freeCodeCamp Español,Equipo freeCodeCamp,"Traducciones de los cursos de freeCodeCamp.org al español. Amplia variedad de temas desde web hasta ciencia de datos.",https://www.youtube.com/@freeCodeCampEspanol
9,Kevin Powell,Kevin Powell,"Canal en inglés con subtítulos en español. CSS moderno, layouts y diseño web.",https://www.youtube.com/@KevinPowellCSS
10,The Net Ninja,Shaun Pelling,"Canal en inglés con subtítulos en español. Tutoriales de desarrollo web en un amplio rango de tecnologías.",https://www.youtube.com/@TheNetNinja